Class Name;DefaultDisplayName;DefaultCategory;Behaviors;DisplayOrder;IconBlockOffset;IconViewOffset;DefaultIconViewScale;FirstPersonScale;FirstPersonOffset;FirstPersonRotation;InHandScale;InHandOffset;InHandRotation;CraftingId;DefaultCreativeData;IsCollidable;IsPlaceable;IsDiggingTransparent;IsPlacementTransparent;IsInteractive;IsEditable;IsGatherable;HasCollisionBehavior;KillsWhenStuck;IsFluidBlocker;IsTransparent;ShadowStrength;LightAttenuation;EmittedLightAmount;ObjectShadowStrength;DefaultDropContent;DefaultDropCount;RequiredToolLevel;MaxStacking;MaxInHandStacking;SleepSuitability;FrictionFactor;Density;NoAutoJump;NoSmoothRise;FuelHeatLevel;FuelFireDuration;SoundMaterialName;DiggingSoundsFolder;DiggingSoundsVolume;DestructionSoundsVolume;ShovelPower;QuarryPower;HackPower;DefaultMeleePower;DefaultMeleeHitProbability;DefaultProjectilePower;ToolLevel;Durability;IsAimable;IsStickable;AlignToVelocity;ProjectileSpeed;ProjectileDamping;ProjectileTipOffset;DisintegratesOnHit;ProjectileStickProbability;FireDuration;ExplosionResilience;DefaultExplosionPressure;IsExplosionTransparent;DigMethod;DigResilience;ProjectileResilience;DefaultNutritionalValue;FoodType;DefaultTextureSlot;DestructionDebrisScale;DefaultDescription
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AirBlock;空气;Terrain;;3;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;;-1;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;0;0;0;0;;1;0;40;40;0;;;FALSE;FALSE;0;0;;;;;;;;;0.66;;1;;;;;;;;;;;;;TRUE;;;;;;;;
BedrockBlock;基岩;Terrain;;4;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;;-1;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;0;0;1;;1;0;40;40;0;1;3;FALSE;FALSE;0;0;Stone;Audio\Impacts\Stone;0.5;1;1;1;1;1;0.66;1;1;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;0;Infinity;;FALSE;Quarry;Infinity;1;0;;17;1;
DirtBlock;泥土;Terrain;;5;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;dirt;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;0;0;1;#;1;0;40;40;0.5;1;3;FALSE;FALSE;0;0;Dirt;Audio\Impacts\Dirt;0.5;1;1;1;1;1;0.66;1;1;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0.75;0;25;;FALSE;Shovel;1.5;1;0;;2;1;泥土是地表非常常见的一种方块，徒手便可轻松挖掘，最适合的工具是铲子。暴露在阳光下时，花草会从周围方块上传播过来。
SoilBlock;耕地;Terrain;;6;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;soil;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;-1;0;0;1;#DirtBlock;1;0;40;40;0.5;1;3;FALSE;FALSE;0;0;Dirt;Audio\Impacts\Dirt;0.5;1;1;1;1;1;0.66;1;1;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0.75;0;25;;FALSE;Shovel;1.5;1;0;;2;1;耕地是耙过的、适合耕种的泥土，在上面跑跳会变回泥土。耕地中的矿物质含量会影响植物的长势。
LimestoneBlock;石灰岩;Terrain;;7;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;limestone;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;0;0;1;#;1;0;40;40;0;1;3;FALSE;FALSE;0;0;Stone;Audio\Impacts\Stone;0.5;1;1;1;1;1;0.66;2;1;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;0;50;;FALSE;Quarry;8;1;0;;5;1;石灰岩是一种偶见于近地表水边的泛白石块。质地脆，徒手便可开采，最适合的工具是镐。可用于合成染料和大理石。
GraniteBlock;花岗岩;Terrain;;8;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;granite;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;0;0;1;#CobblestoneBlock;1;0;40;40;0;1;3;FALSE;FALSE;0;0;Stone;Audio\Impacts\Stone;0.5;1;1;1;1;1;0.66;2;1;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;0;100;;FALSE;Quarry;10;1;0;;1;1;花岗岩是一种坚硬的灰色石块，构成了地下和高山的主体。部分花岗岩中蕴藏着煤炭，更深处还蕴藏着孔雀石。开采后会变成鹅卵石，经过熔炼可以变回花岗岩。
BasaltBlock;玄武岩;Terrain;;9;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;basalt;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;0;0;1;#;1;0;40;40;0;1;3;FALSE;FALSE;0;0;Stone;Audio\Impacts\Stone;0.5;1;1;1;1;1;0.66;2;1;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;0;120;;FALSE;Quarry;15;1;0;;6;1;玄武岩是火山喷发形成的暗色石块，坚硬程度超过花岗岩，构成了地下深处的主体，开采时最好使用高等级的镐。岩浆湖常出现在玄武岩中，所以请谨慎采掘。部分深处的玄武岩中蕴藏着硫、铁，少数还蕴藏着钻石。
SandstoneBlock;沙岩;Terrain;;10;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;sandstone;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;0;0;1;#;1;0;40;40;0;1;3;FALSE;FALSE;0;0;Stone;Audio\Impacts\Stone;0.5;1;1;1;1;1;0.66;2;1;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;0;50;;FALSE;Quarry;8;1;0;;176;1;沙岩是一种常见于干燥、沙化地区的黄色石块。质地脆，徒手便可开采，最适合的工具是镐。部分浅层沙岩中蕴藏着硝石，系由古代鸟类富氮的粪便形成。
GravelBlock;砾石;Terrain;;11;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;gravel;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;0;0;1;;0;0;40;40;0;1;3;FALSE;FALSE;0;0;Sand;Audio\Impacts\Dirt;0.5;1;1;1;1;1;0.66;1;1;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;0;25;;FALSE;Shovel;3;1;0;;19;1;砾石是大量细石的集合，常见于地下，有时还会覆盖整个海滩，是获取石头的来源。砾石十分松散，下方支撑的方块被挖开后会塌落，玩家稍有不慎便会被掩埋，所以开采时应多加小心。
